teamName,season,sport,headCoach,date,opponent,result,attendance
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/05/2019, Milwaukee,L 0-3 ,"
        148
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/09/2019, IUPUI,W 3-2 ,"
        312
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/11/2019, Green Bay,L 0-3 ,"
        78
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/18/2019, Cleveland St.,W 3-1 ,"
        282
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/20/2019, Oakland,L 0-3 ,"
        137
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/25/2019, Milwaukee,L 0-3 ,"
        194
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/26/2019, UIC,L 0-3 ,"
        121
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,11/01/2019, Cleveland St.,L 0-3 ,"
        218
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,11/03/2019, Oakland,L 0-3 ,"
        518
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,11/06/2019, IUPUI,L 2-3 ,"
        218
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,11/08/2019, Green Bay,L 0-3 ,"
        413
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,11/15/2019, Wright St.,L 0-3 ,"
        168
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,11/16/2019, Northern Ky.,L 2-3 ,"
        201
      "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/06/2019, Oklahoma,L 2-3 ,"
        213
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/06/2019, Oregon St.,L 1-3 ,"
        0
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/08/2019, Indiana,L 1-3 ,"
        1,432
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/13/2019, Villanova,L 1-3 ,"
        110
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/13/2019, Southern California,L 2-3 ,"
        975
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/14/2019, Howard,W 3-0 ,"
        200
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/20/2019, Stony Brook,W 3-0 ,"
        315
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/21/2019, Army West Point,W 3-0 ,"
        226
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/21/2019, Sacred Heart,W 3-0 ,"
        411
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/28/2019, Brown,W 3-0 ,"
        462
      "
