teamName,season,sport,headCoach,date,opponent,result,attendance
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,10/20/2019, South Fla.,L 0-2 ,607
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,10/27/2019, Delaware St.,W 4-0 ,264
Temple Owls,2019-20,Women's Soccer,Seamus O'Connor,10/31/2019, UConn,T 1-1 (2 OT),561
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,08/23/2019, South Alabama,T 2-2 (2 OT),0
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,08/25/2019, Troy,T 0-0 (2 OT),0
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,08/30/2019, Arizona St.,L 1-7 ,780
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,09/01/2019, Arizona,L 0-3 ,0
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,09/06/2019, North Ala.,W 2-1 (1 OT),263
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,09/08/2019, Appalachian St.,W 2-1 ,284
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,09/13/2019, Evansville,L 0-2 ,429
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,09/15/2019, Lipscomb,L 0-2 ,248
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,09/20/2019, Morehead St.,T 1-1 (2 OT),392
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,09/22/2019, Eastern Ky.,W 3-1 ,285
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,09/26/2019, SIUE,T 2-2 (2 OT),133
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,10/04/2019, Belmont,L 0-1 ,467
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,10/06/2019, Austin Peay,W 2-1 ,444
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,10/11/2019, Murray St.,W 3-0 ,311
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,10/13/2019, Jacksonville St.,W 1-0 ,202
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,10/18/2019, Eastern Ill.,T 1-1 (2 OT),218
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,10/25/2019, UT Martin,L 1-2 ,122
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,10/27/2019, Southeast Mo. St.,L 2-3 ,543
Tennessee Tech Golden Eagles,2019-20,Women's Soccer,Steve Springthorpe,11/01/2019,#8 Eastern Ill.,L 0-2 ,0
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,08/22/2019, Fordham,W 3-1 ,833
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,08/25/2019, Mercer,W 3-0 ,753
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,08/29/2019, Rutgers,L 0-1 ,"1,022"
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,09/01/2019, Columbia,W 3-0 ,179
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,09/05/2019, Southeastern La.,W 2-0 ,583
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,09/08/2019, Cincinnati,W 3-1 ,"1,158"
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,09/15/2019, Massachusetts,T 3-3 (2 OT),245
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,09/18/2019, UC Davis,W 1-0 ,670
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,09/22/2019, Vanderbilt,L 0-1 (2 OT),"1,193"
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,09/26/2019, Auburn,L 0-1 ,612
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,09/29/2019, Alabama,L 1-2 (2 OT),"1,030"
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,10/06/2019, Kentucky,W 2-0 ,"1,112"
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,10/10/2019, Georgia,W 1-0 ,"1,578"
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,10/13/2019, Missouri,L 0-2 ,334
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,10/18/2019, South Carolina,T 1-1 (2 OT),"2,238"
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,10/24/2019, Florida,W 1-0 ,"1,236"
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,10/27/2019, Mississippi St.,T 1-1 (2 OT),807
Tennessee Volunteers,2019-20,Women's Soccer,Brian Pensky,10/31/2019, Arkansas,L 1-3 ,566
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,08/22/2019, Santa Clara,W 3-2 ,680
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,08/25/2019, Pepperdine,T 0-0 (2 OT),542
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,08/30/2019, CSUN,W 4-0 ,"2,009"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,09/01/2019, Abilene Christian,W 4-0 ,"2,137"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,09/06/2019, Ohio St.,W 1-0 ,"3,048"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,09/08/2019, Brown,T 0-0 (2 OT),"2,005"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,09/12/2019, BYU,L 0-2 ,"3,712"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,09/15/2019, UNLV,W 4-0 ,"1,757"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,09/19/2019, Mississippi St.,W 3-0 ,584
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,09/22/2019, UTRGV,W 5-0 ,"1,979"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,09/26/2019, Kentucky,W 6-1 ,"1,795"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,09/29/2019, LSU,W 2-0 ,703
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,10/06/2019, Florida,L 1-3 ,676
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,10/10/2019, Alabama,T 1-1 (2 OT),"2,234"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,10/13/2019, Auburn,W 1-0 ,627
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,10/18/2019, Arkansas,L 1-3 ,"2,485"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,10/24/2019, Vanderbilt,W 2-1 (2 OT),492
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,10/27/2019, Missouri,W 5-3 ,"2,873"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,10/31/2019, Ole Miss,W 2-1 ,"1,765"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,11/05/2019,#5 Florida,L 1-2 ,0
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,11/15/2019, Texas,W 4-1 ,"3,021"
Texas A&M Aggies,2019-20,Women's Soccer,G Guerrieri,11/22/2019, Southern California,L 1-2 ,700
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,08/22/2019, Gonzaga,W 4-3 ,"1,466"
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,08/29/2019, Denver,L 0-3 ,540
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,09/01/2019, Colorado,L 1-2 ,844
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,09/06/2019, SFA,W 3-1 ,873
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,09/08/2019, A&M-Corpus Christi,W 3-0 ,894
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,09/13/2019, Washington,W 2-0 ,"1,625"
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,09/15/2019, Monmouth,L 0-4 ,783
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,09/19/2019, Providence,L 0-1 (1 OT),923
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,09/22/2019, Grambling,W 8-0 ,906
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,09/26/2019, Kansas,W 1-0 ,718
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,09/29/2019, Kansas St.,W 1-0 ,617
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,10/03/2019, TCU,W 1-0 ,"1,176"
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,10/06/2019, West Virginia,L 1-2 (2 OT),826
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,10/11/2019, Oklahoma St.,L 0-2 ,"1,306"
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,10/18/2019, Baylor,W 2-1 ,"1,042"
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,10/25/2019, Iowa St.,W 3-2 ,255
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,10/27/2019, Texas Tech,L 1-2 (1 OT),"1,982"
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,10/31/2019, Oklahoma,W 3-2 (2 OT),331
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,11/03/2019,#6 TCU,T 0-0 (2 OT),113
Texas Longhorns,2019-20,Women's Soccer,Angela Kelly,11/15/2019, Texas A&M,L 1-4 ,"3,021"
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,08/23/2019, Tulsa,L 0-7 ,77
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,08/25/2019, North Texas,L 0-5 ,362
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,08/29/2019, SMU,L 0-9 ,0
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,09/01/2019, UIW,W 2-1 ,46
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,09/06/2019, A&M-Corpus Christi,L 0-5 ,224
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,09/08/2019, SFA,L 0-4 ,211
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,09/13/2019, Lamar University,L 0-5 ,232
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,09/27/2019, Alcorn,W 5-0 ,83
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,09/29/2019, Mississippi Val.,W 2-0 ,38
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,10/04/2019, Howard,L 0-1 ,12
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,10/11/2019, Southern U.,T 1-1 (2 OT),0
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,10/13/2019, Jackson St.,L 0-1 ,80
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,10/18/2019, Alabama St.,W 2-1 ,0
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,10/20/2019, Alabama A&M,W 2-1 (1 OT),45
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,10/25/2019, Grambling,L 1-2 ,67
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,10/27/2019, Ark.-Pine Bluff,W 2-0 ,42
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,11/01/2019, Prairie View,L 0-1 ,132
Texas Southern Lady Tigers,2019-20,Women's Soccer,Lindsay Vera,11/07/2019,#3 Jackson St.,,
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,08/23/2019, UIW,W 1-0 ,717
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,08/25/2019, Prairie View,W 1-0 ,415
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,08/30/2019, UTSA,W 1-0 ,422
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,09/01/2019, Houston Baptist,W 2-1 (1 OT),562
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,09/06/2019, UTEP,L 1-2 ,302
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,09/08/2019, New Mexico St.,T 1-1 (2 OT),335
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,09/13/2019, Northwestern St.,L 0-1 ,0
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,09/15/2019, McNeese,L 0-1 ,336
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,09/19/2019, South Alabama,L 0-1 (2 OT),360
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,09/27/2019, Little Rock,T 0-0 (2 OT),185
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,09/29/2019, Arkansas St.,L 0-1 ,0
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,10/04/2019, La.-Monroe,W 5-0 ,77
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,10/06/2019, Appalachian St.,W 2-0 ,312
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,10/11/2019, Louisiana,W 1-0 ,455
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,10/18/2019, Coastal Carolina,W 2-0 ,143
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,10/20/2019, Georgia St.,L 0-1 ,190
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,10/25/2019, Troy,L 0-1 (1 OT),455
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,10/27/2019, Ga. Southern,W 3-0 ,670
Texas St. Bobcats,2019-20,Women's Soccer,Kat Conner,11/06/2019,#3 Arkansas St.,T 0-0 (2 OT),215
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,08/22/2019, San Diego St.,W 6-1 ,173
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,08/25/2019, New Mexico,L 0-1 ,532
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,08/29/2019, Oral Roberts,W 4-0 ,747
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,09/01/2019, North Texas,W 4-0 ,"1,353"
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,09/06/2019, Abilene Christian,W 3-0 ,"1,111"
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,09/08/2019, Arkansas St.,W 1-0 ,458
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,09/13/2019, LMU (CA),W 3-1 ,137
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,09/15/2019, UC Irvine,W 4-2 ,0
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,09/21/2019, South Fla.,W 2-1 ,567
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,09/26/2019, Oklahoma St.,W 1-0 ,"1,067"
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,09/29/2019, Oklahoma,T 1-1 (2 OT),677
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,10/03/2019, Iowa St.,W 1-0 (2 OT),231
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,10/10/2019, West Virginia,W 1-0 ,808
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,10/13/2019, Kansas,T 0-0 (2 OT),789
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,10/18/2019, TCU,L 1-2 ,"2,005"
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,10/25/2019, Baylor,W 2-0 ,300
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,10/27/2019, Texas,W 2-1 (1 OT),"1,982"
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,10/31/2019, Kansas St.,W 4-1 ,651
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,11/03/2019,#7 Baylor,W 1-0 ,179
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,11/08/2019,#6 TCU,L 1-2 ,157
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,11/15/2019, Pepperdine,T 2-2 (3 OT),"1,145"
Texas Tech Red Raiders,2019-20,Women's Soccer,Tom Stone,11/22/2019, Michigan,L 2-3 ,0
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,08/22/2019, Bob Jones,W 5-0 ,137
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,08/25/2019, Ga. Southern,L 0-4 ,125
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,08/30/2019, North Dakota,W 1-0 ,195
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,09/01/2019, Navy,L 1-4 ,635
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,09/10/2019, USC Upstate,T 1-1 (2 OT),162
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,09/15/2019, Presbyterian,W 3-2 ,205
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,09/19/2019,W 7-0 ,W 7-0 ,140
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,09/22/2019, Jacksonville,T 1-1 (2 OT),164
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,09/27/2019, UNC Greensboro,L 2-4 ,466
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,09/29/2019, VMI,W 2-0 ,238
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,10/03/2019, Mercer,L 2-4 ,256
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,10/11/2019, Samford,L 0-6 ,122
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,10/13/2019, Chattanooga,L 0-2 ,153
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,10/18/2019, Western Caro.,L 0-1 ,125
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,10/20/2019, ETSU,L 1-3 ,450
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,10/25/2019, Furman,L 3-5 ,184
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,10/27/2019, Wofford,L 0-1 ,182
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,10/30/2019,#8 ETSU,W 1-0 ,187
"The Citadel Bulldogs, Cadets",2019-20,Women's Soccer,Ciaran Traquair,11/02/2019,#1 Samford,L 1-5 ,178
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,08/22/2019, IUPUI,L 0-1 (1 OT),423
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,08/25/2019, Purdue,L 0-4 ,589
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,08/29/2019, UIC,L 0-1 ,702
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,09/05/2019, Oakland,W 4-3 ,421
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,09/08/2019, Wright St.,W 4-1 ,0
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,09/13/2019, UC Davis,L 1-3 ,516
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,09/15/2019, Sacramento St.,L 0-2 ,353
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,09/22/2019, Detroit Mercy,W 4-0 ,177
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,09/27/2019, Buffalo,L 0-2 ,101
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,09/29/2019, Akron,L 0-2 ,164
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,10/04/2019, Ohio,L 0-4 ,437
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,10/06/2019, Kent St.,L 0-3 ,243
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,10/10/2019, Eastern Mich.,W 6-1 ,237
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,10/13/2019, Central Mich.,L 0-3 ,85
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,10/18/2019, Ball St.,W 1-0 ,231
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,10/20/2019, Miami (OH),W 1-0 ,403
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,10/24/2019, Western Mich.,L 0-1 ,120
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,10/27/2019, Northern Ill.,W 1-0 ,281
Toledo Rockets,2019-20,Women's Soccer,T.J. Buchholz,10/31/2019, Bowling Green,L 1-3 ,403
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,08/22/2019, Old Dominion,L 1-4 ,523
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,08/25/2019, Marist,L 0-3 ,686
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,08/29/2019, Mount St. Mary's,W 2-0 ,472
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,09/02/2019, Penn,L 0-2 ,361
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,09/05/2019, UMBC,W 1-0 ,306
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,09/08/2019, Bucknell,L 1-2 ,301
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,09/12/2019, George Washington,T 2-2 (2 OT),102
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,09/15/2019, George Mason,L 0-1 ,191
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,09/19/2019, Richmond,W 3-0 ,319
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,09/26/2019, Northeastern,L 0-6 ,94
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,09/29/2019, William & Mary,L 1-2 ,189
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,10/06/2019, UNCW,L 0-1 ,317
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,10/10/2019, Drexel,L 0-2 ,473
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,10/13/2019, Elon,L 1-3 ,254
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,10/17/2019, James Madison,L 0-6 ,182
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,10/20/2019, Delaware,L 0-1 (2 OT),224
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,10/24/2019, Hofstra,L 1-5 ,147
Towson Tigers,2019-20,Women's Soccer,Katherine Vettori,10/27/2019, Col. of Charleston,W 2-1 ,344
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,08/23/2019, Jackson St.,W 7-0 ,379
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,08/25/2019, Tennessee Tech,T 0-0 (2 OT),0
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,08/30/2019, Stetson,W 3-2 ,0
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,09/01/2019, UAB,T 1-1 (2 OT),416
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,09/05/2019, Jacksonville St.,W 2-1 ,0
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,09/08/2019, Auburn,L 0-3 ,0
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,09/13/2019, Southern U.,W 3-1 ,0
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,09/15/2019, Jacksonville,W 1-0 (1 OT),213
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,09/20/2019, Appalachian St.,T 1-1 (2 OT),376
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,09/22/2019, Coastal Carolina,L 1-2 ,168
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,09/27/2019, Georgia St.,W 3-0 ,0
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,09/29/2019, ULM,W 7-1 ,0
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,10/04/2019, South Alabama,W 2-0 ,0
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,10/06/2019, Ga. Southern,W 4-1 ,0
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,10/11/2019, Arkansas St.,T 1-1 (2 OT),103
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,10/17/2019, Little Rock,W 2-1 ,0
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,10/25/2019, Texas St.,W 1-0 (1 OT),455
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,10/27/2019, Louisiana,W 2-1 (1 OT),457
Troy Trojans,2019-20,Women's Soccer,Ged O'Connor,11/06/2019,#7 Louisiana,L 0-3 ,215
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,08/23/2019, Texas Southern,W 7-0 ,77
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,08/30/2019, Little Rock,W 3-1 ,220
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,09/01/2019, Oklahoma,L 2-3 (1 OT),590
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,09/06/2019, Grambling,W 3-0 ,183
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,09/08/2019, Lamar University,W 3-1 ,159
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,09/13/2019, Missouri St.,L 1-5 ,412
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,09/15/2019, Kansas St.,L 0-2 ,549
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,09/17/2019, Okla. Baptist,W 3-2 ,148
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,09/20/2019, Kansas City,L 1-2 ,178
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,09/22/2019, Chicago St.,W 6-0 ,103
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,09/26/2019, South Fla.,L 1-2 (2 OT),486
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,09/29/2019, UCF,L 0-3 ,392
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,10/03/2019, Temple,W 1-0 ,148
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,10/06/2019, UConn,W 2-0 ,84
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,10/10/2019, East Carolina,L 0-3 ,472
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,10/13/2019, Cincinnati,L 2-4 ,583
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,10/24/2019, SMU,L 0-3 ,75
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,10/27/2019, Houston,L 0-2 ,141
Tulsa Golden Hurricane,2019-20,Women's Soccer,Kyle Cussen,10/31/2019, Memphis,L 0-3 ,77
UAB Blazers,2019-20,Women's Soccer,Erica Demers,08/22/2019, Samford,T 0-0 (2 OT),612
UAB Blazers,2019-20,Women's Soccer,Erica Demers,08/25/2019, TCU,L 0-2 ,217
UAB Blazers,2019-20,Women's Soccer,Erica Demers,08/30/2019, South Alabama,L 1-3 ,868
UAB Blazers,2019-20,Women's Soccer,Erica Demers,09/01/2019, Troy,T 1-1 (2 OT),416
UAB Blazers,2019-20,Women's Soccer,Erica Demers,09/05/2019, Alabama St.,W 5-0 ,278
UAB Blazers,2019-20,Women's Soccer,Erica Demers,09/08/2019, Georgia St.,T 0-0 (2 OT),302
